Athlete,Year,Team,Time,Wind,Year_next_year,Next Year Time,Predicted
"Piper, Aaron",JR-3,Stephen F. Austin,10.19,3.4,SR-4,10.37,10.37
"Cotton, Kenzo",JR-3,Arkansas,10.2,2.9,SR-4,10.12,10.12
"Larkins, Micah",SO-2,Northwestern St.,10.2,2.1,JR-3,10.02,10.02
"James, Amir",JR-3,Northwestern St.,10.2,2.9,SR-4,10.12,10.12
"Ferguson, Emeilo",JR-3,TCU,10.2,4.0,SR-4,10.4,10.4
"Quinn, Devin",SO-2,Illinois,10.2,2.0,JR-3,10.11,10.11
"Brock, TJ",FR-1,USC,10.21,2.1,SO-2,10.21,10.21
"Titi, Ncincilili",JR-3,South Carolina,10.21,2.2,SR-4,10.16,10.16
"Clark, Ryan",SO-2,Florida,10.22,1.8,JR-3,10.16,10.16
"Montgomery, Hakim",SO-2,Troy,10.22,2.7,JR-3,10.3,10.3
"Amoah, Joseph",FR-1,Coppin State,10.24,2.5,SO-2,10.2,10.2
"Chambers, Raheem",FR-1,Auburn,10.24,1.8,SO-2,10.1,10.1
"Smith, Terrell",JR-3,Kansas State,10.24,2.7,SR-4,10.25,10.25
"Burrell, Cameron",JR-3,Houston,10.25,2.0,SR-4,10.24,10.24
"Rodgers, Derrius",FR-1,Illinois State,10.26,2.2,SO-2,10.42,10.42
"Lewis III, John",SO-2,Houston,10.27,3.8,JR-3,10.13,10.13
